job_cluster,skills_filtered,job_level,job_title
Business Development,"['commercial underwriting', 'broker relationships', 'business development', 'product', 'analytical and problemsolving', 'strong written and verbal communication', 'proficiency in microsoft office suite']",Mid senior,Sr. Production Underwriter
Financial Reporting,"['financial planning analysis', 'strategic financial planning', 'financial reporting', 'forecasting', 'budgeting', 'business planning', 'sap', 'positive attitude', 'analytical skills']",Mid senior,Global Head of Financial Planning & Analysis – Peptide Division
Auditing,"['supervision', 'training and development', 'risk assessment', 'auditing', 'driving license', 'financial services']",Mid senior,Area Compliance Manager
Financial Analysis,"['client management', 'accounting', 'auditing', 'taxation', 'financial reporting', 'financial analysis', 'budget preparation', 'forecasting', 'risk management', 'communication', 'presentation', 'problem solving', 'analytical skills', 'attention to detail', 'teamwork', 'time management', 'sage', 'xero', 'microsoft office', 'quickbooks', 'accounting principles', 'auditing standards', 'tax laws and regulations', 'generally accepted accounting principles gaap', 'international financial reporting standards ifrs', 'sarbanesoxley act sox', 'excellent communication and interpersonal', 'ability to work independently and as part of a team']",Mid senior,Client Manager / Qualified Practice Accountant
Accounting,"['finra', 'strong interpersonal', 'wealth management', 'brokerdealer', 'banking', 'accounting', 'credit union']",Associate,Financial Advisor
Leadership,"['accounting', 'finance', 'business administration', 'tax', 'law', 'economics', 'cpa', 'ea', 'microsoft office', 'analytical skills', 'attention to detail', 'strong communication', 'problem solving', 'leadership', 'project management', 'client relationship management', 'research', 'writing', 'communication', 'strong analytical', 'tax returns', 'tax research', 'tax accounting', 'research', 'business analysis', 'documentation', 'leadership', 'coaching', 'mentoring', 'data quality', 'presentations', 'development', 'documentation', 'processes', 'communication', 'technical assistance', 'accounting', 'practices', 'procedures']",Mid senior,Tax Services Manager - Financial Services-Wealth and Asset Management-EDGE-Open US Location
Communication,"['control assessment', 'root cause analysis', 'corrective actions', 'operational risk', 'risk appetite', 'governance', 'training', 'scenario analysis', 'stress testing', 'communication', 'negotiation']",Mid senior,Senior Business Risk Officer for COO Transformation (Hybrid) (Open)
Customer Service & Sales,"['investigations', 'legal analysis', 'reporting', 'customer service', 'collaboration', 'training', 'writing', 'compliance', 'interviewing']",Mid senior,Compliance Officer (Employment)
Auditing,"['planning', 'auditing', 'risk assessment', 'budgeting', 'supervision', 'delegation', 'client communication', 'industry', 'crossselling']",Mid senior,Audit and Accounts Senior
Customer Service & Sales,"['strong work ethic', 'positive attitude', 'sales', 'public interaction', 'rapport building', 'uk driving license']",Mid senior,Field Sales Executive - Fundraising
Leadership,"['investment management', 'treasury operations', 'sap', 'finance', 'business', 'financial data analysis', 'problem solving', 'collaboration', 'communication', 'leadership', 'management', 'project management', 'attention to detail', 'multitasking', 'fastpaced work environment', 'communication', 'continuous improvement', 'process improvement']",Mid senior,Director in Investment Management Cash & Securities Administration
Financial Reporting,"['accounting', 'budget analysis', 'costing', 'forecasting', 'financial reporting', 'stock management', 'balance sheet reconciliation', 'internal audit', 'financial modeling', 'business planning', 'manufacturing', 'fmcg', 'business partnering', 'general ledger', 'erp', 'excel', 'power bi']",Mid senior,Finance Business Partner - 6-12 month contract
Auditing,"['aca or acca', 'accounting', 'auditing', 'financial statement preparation', 'tax returns', 'budgeting', 'risk analysis', 'due diligence', 'self motivation', 'leadership', 'communication', 'problem solving', 'microsoft office']",Mid senior,Audit & Accounts Manager
Business Development,"['financial services', 'lpl financial', 'investment products', 'series 7', 'series 66', 'investment sales', 'client solutions', 'sales incentive compensation']",Mid senior,Financial Advisor - Ascentra Credit Union
Teamwork,"['infrastructure', 'word processing', 'travel', 'creativity', 'adaptability', 'teamwork', 'organization']",Mid senior,"Senior Underwriter, Primary Construction"
Financial Reporting,"['finance management', 'accounting', 'financial statement preparation', 'internal controls', 'accounts payable management', 'leadership', 'support', 'financial reporting', 'statutory accounts', 'revenue recognition', 'monthend close', 'process improvement', 'technical accounting', 'attention to detail']",Mid senior,Finance Manager
Accounting,"['risk assessment', 'financial statement reporting', 'analytical skills', 'problem solving', 'consulting', 'communication', 'leadership', 'leadership', 'accounting', 'business', 'finance', 'information systems', 'cpa', 'cisa', 'pcaob rules and regulations', 'international travel', 'passport', 'compensation and benefits', 'medical coverage', 'pension', 'flexible vacation policy', 'wintersummer breaks', 'personalfamily care', 'leaves of absence', 'diversity and inclusion', 'equal opportunity employer']",Mid senior,"Professional Practice - Senior Manager, Technology Risk & Financial Audit IT"
Data Analysis,"['legal counsel', 'risk mitigation', 'policy development', 'legal research', 'crossfunctional collaboration', 'knowledge sharing', 'compliance', 'legal support', 'legal analysis', 'communication', 'communication', 'regulatory', 'data analysis', 'problem solving']",Mid senior,Strategic Legal Counsel and Compliance Leader
Project Management,"['life sciences', 'sec', 'assurance', 'accounting', 'gaap', 'pcaob', 'client service', 'strong leadership', 'training', 'mentoring', 'presentation', 'organization', 'project management', 'teamwork', 'attention to detail', 'communication', 'communication', 'compensation', 'benefits', 'retirement plan']",Mid senior,Life Science Audit Manager
Collaboration,"['tax planning', 'state and local tax', 'business operations', 'project management', 'technical writing', 'research', 'communication', 'collaboration', 'influencing', 'problem solving', 'data analysis', 'microsoft office', 'ability to prioritize', 'accounting', 'finance', 'business', 'cpa', 'taxation', 'data analytics', 'sql', 'python', 'r']",Mid senior,Tax Credits & Incentives Senior - East
Auditing,"['accounting', 'tax', 'mentoring', 'client relationships', 'problem solving', 'technical', 'collaboration', 'microsoft office', 'writing', 'communication', 'time management', 'attention to detail', 'organization', 'prioritization', 'feedback', 'teamoriented', 'computer', 'cpa license', 'affordable housing', 'low income housing tax credits lihtc', 'opportunity zones oz', 'renewable energy tax credits retc', 'historical tax credits htc', 'housing and urban development hud', 'new markets tax credits nmtc', 'real estate', 'developers', 'partnerships', 'housing authority ha', 'public housing authority', 'community development financial institutions cdfi', 'community development entity certification applications cde', 'property compliance', 'nonprofit', 'single audit', 'uniform guidance', 'a133', 'forecasting', 'cost segregation', 'year 15 exit', 'taxexempt bond', 'home programs']",Mid senior,Audit/Tax Supervisor/Manager
Accounting,"['tax compliance', 'research', 'consulting', 'corporate taxation', 'partnership taxation', 'tax planning', 'tax strategies', 'international tax', 'client relationships', 'public accounting', 'cpa', 'audit management', 'financial statements', 'leadership', 'leadership', 'communication', 'research', 'analytical skills', 'writing']",Mid senior,Tax Manager or Audit Manager
Leadership,"['relationship building', 'windows', 'word', 'leadership', 'teamwork', 'communication', 'communication', 'underwriting guidelines', 'audits', 'inspections', 'endorsements', 'spreadsheets', 'data entry', 'clerical', 'problem solving', 'decision making', 'attention to detail']",Mid senior,Commercial Insurance Underwriter - Aviation Based
Attention to Detail,"['law', 'finance', 'banking', 'real estate', 'innovation', 'research', 'seminars', 'training', 'communication', 'teamwork', 'problem solving', 'analytical skills', 'attention to detail', 'strong work ethic', 'ability to work independently and as part of a team', 'strong analytical', 'strong attention to detail', 'strong work ethic', 'ability to work independently and as part of a team', 'microsoft office', 'strong technical', 'strong communication']",Mid senior,Banking Professional Support Lawyer
Customer Service & Sales,"['financial services', 'customer service', 'sales', 'communication', 'communication', 'problem solving', 'analytical skills', 'time management', 'attention to detail', 'ability to work independently and as part of a team', 'strong work ethic', 'motivation']",Associate,Financial Representative
Data Analysis,"['iso', 'microsoft office', 'gdpr', 'risk assessment', 'compliance', 'communication', 'presentation', 'diplomacy', 'influencing', 'problem solving', 'leadership', 'teamwork', 'time management', 'stress management', 'conflict resolution', 'customer service', 'business development', 'strategic planning', 'data analysis', 'reporting']",Mid senior,Health & Safety Compliance Analyst
Accounting,"['balance sheet reconciliation', 'financial analysis', 'general ledger', 'accounting', 'financial reporting', 'payroll processing', 'internal and external audit', 'financial management', 'budgeting and forecasting', 'cpa', 'accounting principles', 'tax compliance', 'internal controls', 'analytical skills', 'excel', 'quickbooks', 'communication', 'communication', 'gaap', 'accounting']",Mid senior,Senior Accountant
Business Development,"['financial planning', 'financial services', 'client relationship management', 'sales', 'marketing', 'investments', 'banking', 'generosity programs', 'finra series 7 66', 'finra sie', 'background check', 'fingerprinting', 'securities registration', 'commission', 'incentive pay', 'pension plan', 'training', 'professional development', 'membership programs', 'workshops']",Mid senior,Financial Advisor - Burlington and surrounding area
Project Management,"['privacy', 'data protection', 'compliance management', 'risk management', 'data governance', 'project management', 'communication', 'data mapping', 'jira', 'cipp', 'agile', 'data security', 'gdpr', 'legal', 'regulatory compliance', 'data privacy', 'data protection', 'information security']",Mid senior,Global Privacy/Compliance Lead
Auditing,"['accounting', 'finance', 'business', 'criminal justice', 'investigations', 'auditing', 'research', 'communication', 'teamwork', 'problem solving', 'strong analytical', 'certified fraud examiner cfe', 'certified internal auditor cia']",Mid senior,Investigative Assistant Auditor
Attention to Detail,"['accounting', 'statutory accounts preparation', 'bookkeeping', 'vat returns', 'monthly management accounts', 'client service', 'teamwork', 'attention to detail', 'accuracy', 'communication', 'relationship building', 'limited companies', 'sole traders', 'partnerships', 'hybrid working', 'company pension']",Mid senior,Semi Senior Accountant
Project Management,"['privacy', 'regulatory compliance', 'data protection', 'process improvement', 'data mapping', 'data governance', 'jira', 'cipp', 'data management', 'project management', 'risk management', 'data security', 'hr', 'data governance', 'data protection', 'team player', 'communication', 'organization', 'attention to detail', 'flexibility', 'hybrid work environment', 'worklife balance', 'competitive compensation', 'comprehensive benefits', 'employee discounts']",Mid senior,Global Privacy & Compliance Lead
Accounting,"['accounting', 'sox', 'sec reporting', 'reconciliation', 'budgeting', 'cpa', 'public accounting', 'supervision', 'onsite work', 'vision', 'employee assistance program', 'vacation']",Mid senior,Assistant Controller
Accounting,"['accounting', 'data reconciliation', 'inventory management', 'sap', 'costpoint', 'financial management']",Associate,Finance Specialist
Accounting Operations,"['accounting', 'financial management', 'budgeting', 'auditing', 'general ledger', 'accounts receivable', 'grants', 'accounts payable', 'petty cash', 'microsoft office suite word excel powerpoint', 'peoplesoft', 'gaap', 'organization', 'attention to detail', 'analytical skills', 'teamwork', 'communication', 'flexibility']",Mid senior,Senior Accountant
Auditing,"['auditing', 'analytical skills', 'fraud detection', 'internal control procedures', 'risk management', 'strong communication', 'selfmotivated', 'team player', 'physical demands']",Mid senior,"Auditor - Boston, MA job in Los Angeles"
Collaboration,"['financial wellness', 'communication', 'sales', 'service', 'digital technology', 'teleconsulting', 'prospecting', 'networking', 'credit reports', 'client relationships', 'adaptability', 'collaboration', 'critical thinking', 'decision making', 'emotional intelligence', 'business acumen', 'oral and written communication', 'risk management', 'storytelling', 'change navigation', 'leadership', 'driving']",Mid senior,Financial Wellness Banker - Raleigh Hills
Financial Analysis,"['budgeting', 'strategic planning', 'financial management', 'accounting principles', 'financial analysis', 'financial statement analysis', 'mathematical', 'organization', 'analytical skills', 'attention to detail', 'accuracy', 'communication', 'collaborative work environment', 'confidentiality', 'supervisory', 'higher education', 'comprehensive benefits package', 'equal opportunity employer', 'affirmative action employer', 'nondiscrimination']",Mid senior,Assistant Finance Manager
Leadership,"['recruiting', 'accounting', 'finance', 'fpa', 'ma', 'taxation', 'treasury', 'management', 'leadership', 'communication', 'problem solving', 'analytical skills', 'strategic analysis', 'due diligence', 'office 365', 'cloud computing', 'saas', 'crm', 'erp', 'teams', 'zoom', 'salesforce', 'linkedin']",Mid senior,Accounting / Finance Recruiting Manager Entrepreneurial Position with Significant Income
Financial Reporting,"['accounting', 'cpa license', 'generally accepted accounting principles', 'gaap', 'gaas', 'team leader', 'team member', 'feedback', 'communication', 'data visualization', 'automation', 'digitization', 'problem solving', 'financial reporting', 'critical thinking', 'business acumen', 'business analysis', 'global acumen', 'ethics', 'business conduct', 'business strategy', 'wealth management', 'tax compliance', 'cash flow management', 'exit strategies']",Mid senior,PwC Private - Audit Senior Associate
Accounting,"['accounting', 'finance', 'auditing', 'gaap', 'financial statements', 'client engagement', 'leadership', 'project management', 'communication', 'communication', 'time management', 'cpa']",Mid senior,Audit & Assurance Senior
Business Development,"['corporate finance', 'business development', 'client contact', 'career development', 'worklife balance']",Mid senior,Banking / Finance – Senior Lawyer/Senior Associate roles
Accounting,"['sales and use tax', 'erp', 'tax accounting', 'tax research', 'tax audits', 'training development', 'accounting', 'it', 'legal']",Mid senior,Indirect Tax Accountant
Auditing,"['accounting', 'financial analysis', 'financial reporting', 'budgeting', 'auditing', 'taxation', 'cash management', 'compliance', 'communication', 'time management', 'analytical skills', 'problem solving', 'spreadsheet software', 'word processing software', 'medicare', 'medicaid', 'hipaa', 'cpa license']",Mid senior,Senior Accountant
Leadership,"['tax research', 'tax advice', 'tax returns', 'data analysis', 'decision making', 'client relations', 'leadership', 'project management', 'communication', 'problem solving', 'teamwork', 'attention to detail', 'adaptability', 'analytical skills', 'organization', 'communication', 'communication', 'travel', 'bar membership', 'tax compliance', 'word', 'excel', 'powerpoint', 'accounting', 'business', 'finance', 'ability to work independently']",Mid senior,Tax Services Senior Analyst - Financial Services Organization - Fiduciary Trust Tax Services
Accounting,"['accounting', 'taxation', 'tax preparation', 'gaap', 'tax provision', 'cpa license', 'tax strategies', 'problem solving', 'communication', 'english']",Mid senior,Senior Accountant
Customer Service & Sales,"['leasing', 'sales', 'marketing', 'customer service', 'word processing', 'spreadsheet', 'microsoft office', 'email', 'internet', 'communication', 'collaboration', 'motivation', 'problem solving', 'data analysis']",Mid senior,Portfolio Sales & Marketing Manager
Business Development,"['mutual funds', 'bonds', 'annuities', 'financial planning', 'brokerage', 'college degree', 'professional', 'brokerdealer', 'licensing']",Mid senior,Financial Consultant
Business Development,"['sales', 'consultative selling']",Mid senior,Portfolio Account Manager - Canada
Collaboration,"['series 7 66 licenses', 'investment training', 'financial services', 'sales', 'time management', 'goal setting', 'relationship building', 'collaboration', 'communication', 'problem solving', 'adaptability', 'regulatory compliance', 'lead generation', 'investment management', 'new client development', 'computer', 'multitasking', 'certified financial planner cfp', 'chartered retirement planning counselor crpc']",Mid senior,Merrill Financial Solutions Advisor - Northern New England Community Market
Project Management,"['renewable energy', 'investment management', 'portfolio management', 'financial modeling', 'risk analysis', 'market analysis', 'stakeholder management', 'project management', 'communication', 'teamwork', 'sustainability', 'due diligence', 'budget management', 'fundraising', 'business development', 'negotiation', 'problem solving', 'decision making', 'presentation', 'reporting', 'problem solving']",Mid senior,Renewable Energy Project & Portfolio Development Manager [Melbourne or Sydney]
Financial Analysis,"['data analysis', 'c', 'sql', 'excel', 'python', 'financial analysis', 'underwriting', 'risk management', 'business development', 'technical']",Mid senior,"Senior Level Energy Underwriter, AVP/VP"
Project Management,"['root cause analysis', 'project management', 'communication', 'sops', 'regulatory environment']",Mid senior,Compliance Specialist
Auditing,"['accounting', 'tax', 'auditing', 'microsoft office', 'excellent verbal and written communication', 'ability to work collaboratively', 'strong computer', 'attention to detail', 'cpa license']",Mid senior,Audit/Tax Supervisor/Manager
Accounting,"['bookkeeping', 'monthly reporting', 'construction accounting', 'property management', 'real estate accounting', 'organization', 'communication', 'detail oriented', 'selfmotivated', 'team environment', 'ar', 'ap', 'quickbooks', 'invoicing', '1099s', 'financial statements', 'reports', 'tax filings', 'cpa', 'financial data', 'office 365', 'excel', 'pivot tables', 'vlookups', 'math', 'analytical skills', 'multitasking', 'organization', 'timemanagement', 'flexibility', 'positive attitude', 'team player', 'communication', 'communication']",Mid senior,Accountant
Leadership,"['accounting principles', 'audit procedures', 'cpa license', 'financial statement preparation', 'internal audit', 'leadership', 'multitasking', 'project management', 'public accounting', 'research', 'supervisory responsibilities', 'technical']",Mid senior,Audit Senior - Tysons/Rockville
Financial Analysis,"['financial reporting', 'financial analysis', 'financial systems', 'acaacca', 'financial controller', 'manufacturing industry', 'advanced excel', 'erp systems', 'strategic thinking', 'commercial awareness', 'communication', 'stakeholder engagement', 'adaptability']",Mid senior,Financial Controller
Finance & Economics,"['pci dss', 'cobit', 'coso', 'change management', 'itil', 'nist', 'iso', 'sharepoint', 'teams', 'cisa', 'cissp', 'crisc', 'cism', 'computer science', 'business', 'information systems', 'accounting', 'information technology', 'accounting', 'finance']",Associate,"Compliance Analyst, Information Technology"
Data Analysis,"['financial planning', 'forecasting', 'data analysis', 'reporting', 'problem solving', 'teamwork', 'resilience', 'learning', 'excel', 'powerpoint', 'sql', 'looker', 'confluence', 'salesforce', 'financial statements', 'project management', 'data presentation']",Mid senior,Senior Financial Analyst
Collaboration,"['product management', 'market analysis', 'strategy development', 'business case development', 'collaboration', 'sales', 'marketing', 'problem solving', 'process improvement', 'relationship building', 'innovation', 'paid parental leave', 'career advancement', 'equal opportunity employer']",Mid senior,Principal Product Portfolio Manager - MiTek Builder Products
Financial Reporting,"['accounting', 'journal entries', 'reconciliations', 'financial statement preparation', 'accounting standards', 'regulatory requirements', 'budgeting', 'forecasting', 'variance analysis', 'financial reporting']",Mid senior,NetSuite Administrator/Accountant
Accounting,"['risk management', 'data analytics', 'math', 'accounting', 'management information systems', 'computer science', 'engineering', 'experience', 'flexibility', 'competitive salary', 'pension', 'health care']",Mid senior,AVP â€“ Technology Internal Auditor
Analytical Thinking,"['product management', 'data analytics', 'payments', 'cash', 'agile methodology', 'requirements gathering', 'quality assurance', 'crossfunctional collaboration', 'product strategy', 'market research', 'competitor analysis', 'scalability', 'market trends', 'problem solving', 'communication', 'team leadership', 'attention to detail', 'strategic thinking', 'analytical skills', 'critical thinking', 'business intelligence', 'software engineering']",Mid senior,J.P. Morgan Wealth Management - Vice President Product - 2024 ReEntry Program
MS Office,"['internal audit', 'external audit', 'consulting', 'leasing', 'business', 'mba', 'word', 'excel', 'powerpoint']",Mid senior,Internal Auditor (Hybrid)
Financial Analysis,"['financial analysis', 'project leadership', 'cost management', 'forecasting', 'budgeting', 'variance analysis', 'financial modeling', 'excel', 'financial forecasting', 'financial reconciliation']",Mid senior,Finance Analyst IV
Project Management,"['5 years of', 'financial crime', 'fraud', 'sanctions', 'critical thinking', 'analytical skills', 'process facilitation', 'project management', 'presentation', 'communication', 'communication', 'communication', 'time management', 'microsoft office', 'word processing', 'spreadsheets', 'databases', 'presentations', 'cams', 'cfe', 'indmo']",Mid senior,Senior Auditor - Financial Crimes
Accounting,"['taxation', 'accounting', '1099s', 'communication', 'accounting', 'finance']",Mid senior,Senior Tax Accountant
Data Analysis,"['accounting', 'financial statements', 'risk management', 'audit process', 'valuations', 'modeling', 'spreadsheets', 'data analysis', 'audit methodology', 'team leadership', 'fieldwork', 'problem solving', 'research', 'business development', 'sales', 'mentoring', 'coaching']",Mid senior,Audit Senior Associate
Finance & Economics,"['sage', 'finance', 'controlling', 'teamoriented', 'payments']",Mid senior,Finance Administrator
Data Analysis,"['windows', 'spreadsheets', 'supervisory', 'problem solving', 'data analysis', 'communication', 'teamwork', 'financial management', 'revenue management', 'budgeting', 'forecasting', 'payroll', 'hr', 'accounts payable', 'accounts receivable', 'employee benefits', 'training', 'confidentiality']",Mid senior,Finance Manager
Multitasking,"['accounting', 'reporting', 'budgeting', 'analysis', 'sox compliance', 'automation', 'problem solving', 'communication', 'teamwork', 'multitasking', 'accounting degree']",Mid senior,Reporting Accountant Accountant Senior Reporting or
Auditing,"['aerospace', 'sap', 'auditing', 'project management', 'root cause analysis', 'quality assurance', 'continuous improvement', 'project planning', 'quality audits', 'corrective actions', 'english', 'french', 'microsoft office', 'team player']",Mid senior,Auditeur qualité principal - Réseau des centres moteurs / Quality Lead Auditor - Engine Center Network
Multitasking,"['negotiation', 'analytical skills', 'communication', 'relationship management', 'underwriting guidelines', 'microsoft office', 'college degree', 'travel willingness', 'ability to work independently', 'ability to work in a team', 'strong interpersonal', 'multitasking', 'prioritization', 'technical', 'quantitative']",Mid senior,Excess & Surplus - Primary Property Underwriter (Wholesale) (Hybrid/Remote)
Risk & Compliance,"['risk assessment', 'excellent communication and interpersonal', 'ability to work independently and as part of a team']",Mid senior,Export Compliance Specialist
Financial Reporting,"['portfolio analysis', 'risk appetite', 'broker relationships', 'customer relationships', 'financial reporting', 'practice', 'microsoft applications', 'underwriting', 'project management']",Mid senior,Casualty Portfolio Underwriter
Leadership,"['healthcare administration', 'management', 'medical', 'behavioral health', 'equal employment opportunity eeo']",Mid senior,Compliance Improvement Analyst
Collaboration,"['business degree', 'sales', 'prospecting', 'negotiation', 'communication', 'client relationship management', 'data management', 'networking', 'collaboration', 'leadership', 'strategic planning', 'mentorship', 'commercial real estate', 'hospitality', 'medical']",Mid senior,"Real Estate Agent/ Senior Sales Associate, Investment Sales (NJ)"
Accounting,"['accounting', 'audit', 'erisa', 'financial statement preparation', 'cpa', 'retirement plans', 'project management', 'consulting', 'public accounting', 'travel', 'professional services', 'team building', 'client engagement', 'collaboration']",Mid senior,Audit Senior - Employee Benefit Plans
Accounting,"['public accounting', 'microsoft applications', 'communication', 'leadership', 'supervision', 'multitasking', 'caseware', 'cpa', 'hsa', 'fsa', 'sick leave']",Associate,Senior or Audit Staff
MS Office,"['business development', 'sales', 'account analysis', 'account reconciliation', 'ach', 'microsoft office', 'crm systems', 'teamwork', 'active listening']",Mid senior,SENIOR TREASURY MANAGEMENT ADVISOR
Accounting Operations,"['accounting', 'finance', 'monthend close process', 'journal entries', 'financial reports', 'reconciliations', 'fixed assets', 'intercompany transactions', 'audit support', 'accounts payable', 'accounts receivable', 'excel', 'pivot tables', 'vlookups', 'communication', 'communication', 'associates degree']",Mid senior,Senior Accountant
Customer Service & Sales,"['commercial lending', 'credit analysis', 'credit policy', 'verbal and written communication', 'analytical and problemsolving', 'business judgment', 'relationship management', 'comprehensive benefits', 'employee assistance program', 'tuition assistance', 'legal support', 'paid vacation', 'sick days', 'holidays']",Mid senior,SBA Portfolio Manager
Data Analysis,"['psychology', 'social work']",Mid senior,ED PHO/Registrar | ACEM Accredited
Financial Reporting,"['cpa', 'client service', 'project management', 'tax accounting', 'data analysis', 'financial reporting', 'time management', 'communication', 'problem solving']",Mid senior,Tax Auditor
Project Management,"['risk mitigation', 'annual audit', 'supply chain', 'metrics', 'accounting', 'finance', 'statistics', 'internal audit', 'consulting', 'cpa certified public accountant', 'project management', 'analytical skills', 'problem solving', 'organization', 'cpa certified public accountant']",Mid senior,Sr Internal Auditor - Finance
Teamwork,"['fundraising', 'interpersonal communication', 'teamwork', 'resilience', 'sales', 'team leadership', 'line management', 'training', 'coaching']",Mid senior,National Cycle Network Fundraiser
MS Office,"['financial planning', 'asset allocation', 'retirement planning', 'education funding', 'securities industry', 'investment strategies', 'relationship management', 'analytical and problemsolving', 'microsoft office']",Mid senior,Wealth Management Advisor
Attention to Detail,"['compliance', 'nist cybersecurity framework', 'cissp', 'cism', 'cisa', 'problem solving', 'attention to detail', 'communication', 'teamwork']",Mid senior,IA Policy & Compliance Certified Professional with Security Clearance
Analytical Thinking,"['mortgage underwriting', 'economic principles', 'accounting principles', 'financial markets', 'financial data analysis', 'pivot tables', 'macros', 'excel', 'analytical skills', 'communication', 'communication', 'attention to detail', 'organization', 'followthrough']",Mid senior,Mortgage Quality Control Auditor
Business Development,"['business management', 'sales', 'relationship building', 'community involvement', 'financial services industry', 'wealth management', 'investment advisory', 'financial planning', 'retirement plans', 'finra']",Associate,Financial Advisor
Auditing,"['microsoft office', 'auditing', 'financial auditing', 'accounting', 'cost accounting', 'economics', 'cpa', 'certified internal auditor', 'excel', 'powerpoint', 'outlook']",Mid senior,AUDIT SUPERVISOR
Financial Analysis,"['senior accountant', 'corporate finance', 'financial reporting', 'process improvement', 'financial analysis', 'excel', 'tableau', 'power bi', 'quickbooks', 'netsuite', 'intacct', 'data consolidation', 'reporting', 'analytics', 'multitasking', 'prioritization', 'quantitative analysis', 'qualitative analysis', 'datadriven insights', 'tight deadlines', 'fastpaced environment', 'communication', 'communication', 'team environment']",Associate,"Senior Consultant, Accounting and Finance Advisory Services"
Financial Reporting,"['accounting', 'financial reporting', 'microsoft office', 'attention to detail', 'deadline management', 'task management', 'learning agility']",Mid senior,Assistant Controller
Customer Service & Sales,"['medical terminology', 'billing', 'cash application', 'collection', 'data entry', 'excel', 'customer service', 'medicaid', 'medicare', 'audits']",Mid senior,Patient Financial Services Reimbursement Analyst 2
Financial Reporting,"['acca', 'aca', 'icas', 'uk gaap', 'ifrs', 'financial reporting', 'antimoney laundering', 'consolidations', 'statutory accounts', 'disclosures', 'project management', 'teamwork', 'communication', 'self motivation', 'adaptability', 'problem solving', 'critical thinking', 'attention to detail', 'analytical skills', 'reporting', 'audit']",Mid senior,Audit Senior Manager - Southampton
Data Analysis,"['sql', 'business analysis', 'systems analysis', 'asset management', 'capital markets', 'user acceptance testing', 'client focus', 'relationship management', 'equities', 'fixed income', 'data integration']",Mid senior,Business Analyst Hedge Fund Opps
Risk & Compliance,"['financial audits', 'operational audits', 'regulatory audits', 'risk assessment', 'business process documentation', 'control testing']",Mid senior,Internal Audit Senior I
Accounting Operations,"['tax accounting', 'tax planning', 'tax preparation', 'tax research', 'financial statements']",Mid senior,Staff Tax Accountant
Customer Service & Sales,"['customer service', 'sales', 'banking', 'financial services', 'deposits', 'loans', 'client engagement', 'communication', 'compliance']",Mid senior,Branch Banking Client Consultant I
Communication,"['investment banking', 'private equity', 'credit', 'financial modeling', 'communication', 'communication']",Associate,Investment Associate
MS Office,"['hud', 'regulations', 'laws', 'analytical skills', 'communication', 'communication', 'research', 'project coordination', 'problem solving', 'documentation', 'recordkeeping', 'communication', 'diplomacy', 'confidentiality', 'time management', 'decision making', 'computer literacy', 'word', 'excel', 'yardi']",Mid senior,Compliance & Audit Manager
Risk & Compliance,"['supervision', 'audit', 'training', 'coaching', 'assessments', 'risk management', 'regulatory compliance', 'industry']",Mid senior,Area Compliance Manager
Accounting,"['assurance', 'financial audit', 'risk assessment', 'financial statement reporting', 'pcaob', 'cisa', 'accounting', 'finance', 'business', 'information systems', 'cpa', 'passport', 'travel', 'team leadership', 'problem solving', 'analytical skills', 'communication', 'collaboration', 'diversity and inclusion', 'continuous learning', 'transformative leadership']",Mid senior,"Professional Practice - Senior Manager, Technology Risk & Financial Audit IT"
Project Management,['engineering'],Mid senior,"Engineering Stores Controller in Wakefield, UK"
Business Development,"['financial planning', 'wealth management', 'financial advising', 'cas', 'flexible working']",Mid senior,Financial Adviser
Accounting,"['financial accounting', 'credit analysis', 'financial modeling', 'underwriting', 'commercial banking', 'private banking', 'hedge funds', 'private equity', 'loan portfolio management', 'risk management', 'project management', 'multitasking', 'communication', 'team player', 'mba', 'cpa', 'cfa']",Associate,"Private Wealth Management, Lending Underwriter, Associate, London"
Attention to Detail,"['windows', 'microsoft office', 'gsuite', 'tax preparation software', 'customer relationship management', 'data entry', 'problem solving', 'teamwork', 'communication', 'analytical skills', 'attention to detail', 'accuracy', 'patience']",Mid senior,French Bilingual Accountant
Accounting,"['accounting', 'finance', 'bookkeeping', 'nonprofit', 'financial literacy', 'fund accounting', 'accounting operations', 'training', 'consulting', 'system implementation', 'remote work']",Mid senior,Volunteer Accounting & Finance Consultant for Kreative Solutions Hbcu Scholarship Foundation
Customer Service & Sales,"['tax preparation', 'tax research', 'regulations', 'microsoft office', 'excel', 'word', 'powerpoint', 'financial statements', 'tax returns', 'accounting', 'fasb', 'cpe', 'aicpa', 'teamwork', 'communication', 'analytical skills', 'critical thinking', 'microsoft office', 'time management', 'customer service', 'problem solving', 'research', 'travel', 'overtime', 'cpa designation', 'public accounting', 'professional services']",Mid senior,Tax - Senior Accountant (Shreveport)
MS Office,"['credit management', 'excel', 'sap', 'shipping', 'accounts receivable', 'cash application', 'retail industry', 'oral and written communication', 'goaloriented', 'selfmotivated', 'fastpaced environment', 'strong attention to detail']",Mid senior,Credit & Collections Manager
Auditing,"['auditing', 'accounting', 'financial statements', 'tax accounting', 'management accounting', 'payroll', 'pensions', 'vat', 'cch', 'sage', 'quickbooks', 'xero', 'microsoft office', 'excel', 'word', 'acca', 'aca', 'qbe', 'communication', 'problem solving', 'teamwork', 'mentoring', 'attention to detail', 'proactive approach']",Mid senior,Audit & Accounts Senior
